CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,-,-,-,-,-,-,-,-,"13,800.00",-,-,0.05,"3,000",-0.35,0.05,124.21,"6,015",-859,"2,788"
,-,-,-,-,-,-,-,-,"4,347.65","2,800","13,850.00","2,150",0.05,0.15,"1,100",-0.35,0.05,122.37,"1,436",100,281
,-,-,-,-,-,-,-,-,"4,267.90","2,800","13,900.00",-,-,0.05,850,-0.3,0.05,120.54,"3,434",-50,190
,-,-,-,-,-,-,-,-,"4,240.80","2,800","13,950.00",-,-,0.15,"1,900",-0.25,0.1,124.49,399,-64,135
,-,-,18,282.56,"3,444.65","1,912.55","1,000","3,315.20","3,433.65",600,"14,000.00",-,-,0.05,50,-0.35,0.05,116.88,"9,885","-1,909","3,885"
,-,-,-,-,-,-,-,-,-,-,"14,050.00",-,-,0.05,150,-0.3,0.05,115.07,"1,848",240,359
,-,-,-,-,-,-,"2,800","2,368.05","4,069.30","2,800","14,100.00",-,-,0.1,"5,400",-0.4,0.05,113.25,"1,394",112,392
,-,-,-,-,-,-,-,-,-,-,"14,150.00",-,-,0.05,400,-0.2,0.05,111.45,300,-50,129
,-,-,-,-,-,-,-,-,"3,974.60","2,800","14,200.00",-,-,0.1,"3,800",-0.3,0.05,109.64,426,44,156
,-,-,-,-,-,-,-,-,-,-,"14,250.00",-,-,0.1,100,-0.3,0.05,107.84,691,-334,252
,-,-,-,-,-,-,-,-,"3,865.95","2,800","14,300.00",-,-,0.1,"2,750",-0.35,0.1,111.29,651,7,140
,-,-,-,-,-,-,-,-,-,-,"14,350.00",-,-,0.05,750,-0.4,0.05,104.26,672,18,60
,-,-,-,-,-,-,-,-,-,-,"14,400.00",-,-,0.1,"2,050",-0.35,0.1,107.56,"2,393",-449,381
,-,-,-,-,-,-,-,-,-,-,"14,450.00",-,-,0.1,"2,800",-0.45,0.1,105.7,306,-30,234
,-,-,-,-,-,-,"2,800","2,047.25",-,-,"14,500.00",-,-,0.05,"26,850",-0.4,0.05,98.92,"33,046","-19,266","2,654"
,-,-,-,-,-,-,-,-,"3,647.00","2,800","14,550.00",-,-,0.05,"16,800",-0.5,0.05,97.15,590,32,113
,-,-,-,-,-,-,-,-,"3,101.85","2,800","14,600.00",-,-,0.05,"19,750",-0.45,0.05,95.39,"16,919","-6,645","3,154"
,-,-,-,-,-,-,-,-,"3,060.60","2,800","14,650.00",-,-,0.05,"14,050",-0.3,0.1,98.32,563,74,341
,-,-,-,-,-,-,-,-,-,-,"14,700.00",-,-,0.05,"16,800",-0.55,0.05,91.87,"7,132","-1,947",929
,-,-,-,-,-,-,-,-,-,-,"14,750.00",550,0.05,0.1,"1,600",-0.5,0.05,90.12,875,125,171
,-,-,-,-,-,-,-,-,-,-,"14,800.00",-,-,0.05,"8,450",-0.5,0.05,88.37,"9,200","-1,715",413
,-,-,-,-,-,-,-,-,"3,324.50","2,800","14,850.00","5,500",0.05,0.2,"2,100",-0.95,0.05,86.62,"4,510",64,317
,-,-,-,-,-,-,-,-,"3,276.40","2,800","14,900.00","1,150",0.05,0.1,"4,900",-0.5,0.05,84.88,"4,065","-1,268",402
,-,-,-,-,-,-,-,-,-,-,"14,950.00",-,-,0.05,"1,550",-0.6,0.05,83.15,"1,354",478,587
,32,-27,48,148.16,"2,385.00",51.25,"2,800","2,103.90","2,432.60",350,"15,000.00",-,-,0.05,"2,31,650",-0.4,0.05,81.41,"53,277","-12,274","9,888"
,-,-,-,-,-,-,-,-,-,-,"15,050.00",-,-,0.15,500,-0.5,0.05,79.68,"3,709",227,355
,-,-,-,-,-,-,-,-,"2,342.60",350,"15,100.00","3,000",0.05,0.1,"8,300",-0.6,0.05,77.96,"4,871",-958,"1,283"
